,team_id,player_id,x_loc,y_loc,radius,game_clock,shot_clock,quarter,game_id,event_id,x_loc_original,y_loc_original,speed
105,TOR,Jonas Valanciunas,-114.044,175.477,0.000,710.900,11.780,1,21500492,1,22.298,36.404,7.320
106,TOR,Kyle Lowry,-172.341,202.607,0.000,710.900,11.780,1,21500492,1,25.011,42.234,14.558
107,ball,ball,-172.491,222.261,3.195,710.900,11.780,1,21500492,1,26.976,42.249,7.463
108,TOR,Luis Scola,117.201,131.339,0.000,710.900,11.780,1,21500492,1,17.884,13.280,3.227
109,TOR,DeMar DeRozan,-110.367,46.196,0.000,710.900,11.780,1,21500492,1,9.370,36.037,15.056
110,CHA,Marvin Williams,41.397,73.804,0.000,710.860,11.760,1,21500492,1,12.130,20.860,3.692
111,CHA,PJ Hairston,-106.302,68.679,0.000,710.860,11.760,1,21500492,1,11.618,35.630,9.088
112,CHA,Cody Zeller,-85.352,120.609,0.000,710.860,11.760,1,21500492,1,16.811,33.535,3.080
113,CHA,Kemba Walker,-150.789,182.546,0.000,710.860,11.760,1,21500492,1,23.005,40.079,11.969
114,CHA,Nicolas Batum,61.575,31.061,0.000,710.860,11.760,1,21500492,1,7.856,18.843,2.799
115,TOR,Jonas Valanciunas,-115.605,177.350,0.000,710.860,11.760,1,21500492,1,22.485,36.561,6.094
116,TOR,DeMar DeRozan,-106.031,41.620,0.000,710.860,11.760,1,21500492,1,8.912,35.603,15.758
117,TOR,Kyle Lowry,-168.348,207.365,0.000,710.860,11.760,1,21500492,1,25.487,41.835,15.529
118,TOR,DeMarre Carroll,101.548,37.171,0.000,710.860,11.760,1,21500492,1,8.467,14.845,4.636
119,TOR,Luis Scola,117.588,130.224,0.000,710.860,11.760,1,21500492,1,17.772,13.241,2.952
120,ball,ball,-170.678,225.550,3.734,710.860,11.760,1,21500492,1,27.305,42.068,9.389
121,CHA,Marvin Williams,42.388,73.739,0.000,710.820,11.740,1,21500492,1,12.124,20.761,2.483
122,CHA,PJ Hairston,-104.625,65.601,0.000,710.820,11.740,1,21500492,1,11.310,35.462,8.764
123,CHA,Cody Zeller,-86.508,121.133,0.000,710.820,11.740,1,21500492,1,16.863,33.651,3.172
124,CHA,Kemba Walker,-147.392,186.068,0.000,710.820,11.740,1,21500492,1,23.357,39.739,12.234
125,CHA,Nicolas Batum,61.907,29.951,0.000,710.820,11.740,1,21500492,1,7.745,18.809,2.897
126,ball,ball,-167.812,227.690,3.945,710.820,11.740,1,21500492,1,27.519,41.781,8.942
127,TOR,Jonas Valanciunas,-117.025,179.076,0.000,710.820,11.740,1,21500492,1,22.658,36.703,5.587
128,TOR,DeMar DeRozan,-101.790,37.037,0.000,710.820,11.740,1,21500492,1,8.454,35.179,15.612
129,TOR,Kyle Lowry,-163.786,211.763,0.000,710.820,11.740,1,21500492,1,25.926,41.379,15.843
130,TOR,DeMarre Carroll,100.453,35.716,0.000,710.820,11.740,1,21500492,1,8.322,14.955,4.553
131,TOR,Luis Scola,117.955,129.053,0.000,710.820,11.740,1,21500492,1,17.655,13.204,3.068
132,CHA,Marvin Williams,42.832,73.960,0.000,710.780,11.710,1,21500492,1,12.146,20.717,1.240
133,CHA,PJ Hairston,-102.692,62.717,0.000,710.780,11.710,1,21500492,1,11.022,35.269,8.678
134,CHA,Cody Zeller,-87.481,121.606,0.000,710.780,11.710,1,21500492,1,16.911,33.748,2.705
135,CHA,Kemba Walker,-143.829,189.514,0.000,710.780,11.710,1,21500492,1,23.701,39.383,12.393
136,CHA,Nicolas Batum,62.288,28.878,0.000,710.780,11.710,1,21500492,1,7.638,18.771,2.845
137,ball,ball,-163.719,231.669,4.181,710.780,11.710,1,21500492,1,27.917,41.372,14.271
138,TOR,Jonas Valanciunas,-118.856,180.674,0.000,710.780,11.710,1,21500492,1,22.817,36.886,6.077
139,TOR,DeMar DeRozan,-97.187,32.469,0.000,710.780,11.710,1,21500492,1,7.997,34.719,16.211
140,TOR,Kyle Lowry,-159.089,215.405,0.000,710.780,11.710,1,21500492,1,26.291,40.909,14.858
141,TOR,DeMarre Carroll,99.342,34.294,0.000,710.780,11.710,1,21500492,1,8.179,15.066,4.512
142,TOR,Luis Scola,118.181,127.924,0.000,710.780,11.710,1,21500492,1,17.542,13.182,2.878
143,CHA,PJ Hairston,-100.095,59.500,0.000,710.740,11.690,1,21500492,1,10.700,35.010,10.336
144,CHA,Cody Zeller,-88.480,122.172,0.000,710.740,11.690,1,21500492,1,16.967,33.848,2.869
145,CHA,Kemba Walker,-140.057,192.874,0.000,710.740,11.690,1,21500492,1,24.037,39.006,12.628
146,CHA,Nicolas Batum,62.605,27.831,0.000,710.740,11.690,1,21500492,1,7.533,18.739,2.737
147,CHA,Marvin Williams,43.442,74.278,0.000,710.740,11.690,1,21500492,1,12.178,20.656,1.719
148,TOR,Jonas Valanciunas,-120.925,182.194,0.000,710.740,11.690,1,21500492,1,22.969,37.093,6.417
149,TOR,DeMar DeRozan,-92.671,28.163,0.000,710.740,11.690,1,21500492,1,7.566,34.267,15.601
150,TOR,Kyle Lowry,-154.430,218.766,0.000,710.740,11.690,1,21500492,1,26.627,40.443,14.361
151,TOR,DeMarre Carroll,97.674,33.145,0.000,710.740,11.690,1,21500492,1,8.065,15.233,5.063
152,TOR,Luis Scola,118.306,126.825,0.000,710.740,11.690,1,21500492,1,17.432,13.169,2.766
