,event_id,team1_id,team2_id,game_clock,ball_x_loc,ball_y_loc,team1_player1,team1_player1_x_loc,team1_player1_y_loc,team1_player2,team1_player2_x_loc,team1_player2_y_loc,team1_player3,team1_player3_x_loc,team1_player3_y_loc,team1_player4,team1_player4_x_loc,team1_player4_y_loc,team1_player5,team1_player5_x_loc,team1_player5_y_loc,team2_player1,team2_player1_x_loc,team2_player1_y_loc,team2_player2,team2_player2_x_loc,team2_player2_y_loc,team2_player3,team2_player3_x_loc,team2_player3_y_loc,team2_player4,team2_player4_x_loc,team2_player4_y_loc,team2_player5,team2_player5_x_loc,team2_player5_y_loc,ball_speed,team1_player1_speed,team1_player2_speed,team1_player3_speed,team1_player4_speed,team1_player5_speed,team2_player1_speed,team2_player2_speed,team2_player3_speed,team2_player4_speed,team2_player5_speed
31,1.000,TOR,CHA,710.020,33.249,31.537,Luis Scola,15.146,13.280,DeMarre Carroll,7.263,17.493,Kyle Lowry,32.125,32.043,DeMar DeRozan,3.379,24.522,Jonas Valanciunas,24.139,37.889,Marvin Williams,12.857,18.892,Nicolas Batum,7.075,19.671,Kemba Walker,27.690,31.401,Cody Zeller,17.563,35.639,PJ Hairston,6.661,28.778,21.858,3.605,0.309,13.759,16.997,0.858,1.601,2.630,11.343,2.022,10.685
32,1.000,TOR,CHA,709.980,33.433,30.720,Luis Scola,15.005,13.293,DeMarre Carroll,7.268,17.484,Kyle Lowry,32.239,31.496,DeMar DeRozan,3.321,23.851,Jonas Valanciunas,24.173,37.879,Marvin Williams,12.845,18.842,Nicolas Batum,7.159,19.805,Kemba Walker,27.788,30.966,Cody Zeller,17.543,35.707,PJ Hairston,6.549,28.359,20.929,3.540,0.271,13.984,16.828,0.876,1.282,3.959,11.148,1.764,10.855
33,1.000,TOR,CHA,709.940,33.762,30.049,Luis Scola,14.868,13.310,DeMarre Carroll,7.275,17.478,Kyle Lowry,32.365,30.926,DeMar DeRozan,3.288,23.180,Jonas Valanciunas,24.253,37.826,Marvin Williams,12.830,18.794,Nicolas Batum,7.232,19.921,Kemba Walker,27.888,30.561,Cody Zeller,17.519,35.765,PJ Hairston,6.465,27.936,18.685,3.437,0.216,14.579,16.805,2.396,1.261,3.433,10.407,1.567,10.759
34,1.000,TOR,CHA,709.900,33.945,29.244,Luis Scola,14.731,13.328,DeMarre Carroll,7.282,17.464,Kyle Lowry,32.500,30.350,DeMar DeRozan,3.268,22.504,Jonas Valanciunas,24.321,37.819,Marvin Williams,12.829,18.765,Nicolas Batum,7.322,20.033,Kemba Walker,27.992,30.175,Cody Zeller,17.489,35.805,PJ Hairston,6.331,27.505,20.633,3.467,0.391,14.801,16.900,1.711,0.730,3.587,9.999,1.250,11.304
35,1.000,TOR,CHA,709.860,34.044,28.602,Luis Scola,14.600,13.348,DeMarre Carroll,7.301,17.473,Kyle Lowry,32.621,29.792,DeMar DeRozan,3.287,21.831,Jonas Valanciunas,24.374,37.813,Marvin Williams,12.837,18.749,Nicolas Batum,7.427,20.159,Kemba Walker,28.108,29.806,Cody Zeller,17.456,35.831,PJ Hairston,6.190,27.073,16.241,3.297,0.533,14.274,16.847,1.345,0.448,4.111,9.678,1.052,11.354
36,1.000,TOR,CHA,709.820,34.134,27.628,Luis Scola,14.472,13.367,DeMarre Carroll,7.314,17.465,Kyle Lowry,32.726,29.243,DeMar DeRozan,3.283,21.126,Jonas Valanciunas,24.404,37.763,Marvin Williams,12.852,18.751,Nicolas Batum,7.559,20.319,Kemba Walker,28.208,29.421,Cody Zeller,17.418,35.841,PJ Hairston,6.087,26.643,24.466,3.228,0.377,13.979,17.621,1.458,0.374,5.163,9.935,0.982,11.049
37,1.000,TOR,CHA,709.780,34.245,27.005,Luis Scola,14.342,13.372,DeMarre Carroll,7.326,17.457,Kyle Lowry,32.836,28.718,DeMar DeRozan,3.310,20.422,Jonas Valanciunas,24.414,37.702,Marvin Williams,12.868,18.768,Nicolas Batum,7.694,20.479,Kemba Walker,28.312,29.047,Cody Zeller,17.373,35.837,PJ Hairston,5.937,26.189,15.819,3.257,0.369,13.400,17.594,1.535,0.584,5.241,9.705,1.123,11.953
38,1.000,TOR,CHA,709.740,34.464,27.535,Luis Scola,14.216,13.375,DeMarre Carroll,7.295,17.442,Kyle Lowry,32.944,28.219,DeMar DeRozan,3.367,19.751,Jonas Valanciunas,24.405,37.631,Marvin Williams,12.887,18.794,Nicolas Batum,7.830,20.629,Kemba Walker,28.419,28.693,Cody Zeller,17.324,35.825,PJ Hairston,5.786,25.670,14.357,3.147,0.862,12.757,16.852,1.786,0.813,5.061,9.259,1.277,13.519
39,1.000,TOR,CHA,709.700,34.541,27.166,Luis Scola,14.089,13.378,DeMarre Carroll,7.266,17.443,Kyle Lowry,33.067,27.741,DeMar DeRozan,3.453,19.101,Jonas Valanciunas,24.386,37.564,Marvin Williams,12.903,18.830,Nicolas Batum,7.969,20.769,Kemba Walker,28.536,28.350,Cody Zeller,17.265,35.799,PJ Hairston,5.636,25.124,9.441,3.197,0.735,12.345,16.399,1.731,0.987,4.950,9.040,1.597,14.147
40,1.000,TOR,CHA,709.660,34.673,26.822,Luis Scola,13.963,13.380,DeMarre Carroll,7.248,17.390,Kyle Lowry,33.245,27.309,DeMar DeRozan,3.522,18.384,Jonas Valanciunas,24.351,37.488,Marvin Williams,12.908,18.867,Nicolas Batum,8.100,20.918,Kemba Walker,28.657,28.038,Cody Zeller,17.206,35.765,PJ Hairston,5.492,24.630,9.215,3.151,1.404,11.676,17.989,2.099,0.939,4.946,8.379,1.698,12.877
41,1.000,TOR,CHA,709.620,34.673,26.389,Luis Scola,13.838,13.378,DeMarre Carroll,7.219,17.368,Kyle Lowry,33.408,26.882,DeMar DeRozan,3.618,17.672,Jonas Valanciunas,24.335,37.461,Marvin Williams,12.901,18.900,Nicolas Batum,8.245,21.080,Kemba Walker,28.791,27.737,Cody Zeller,17.142,35.720,PJ Hairston,5.380,24.108,10.812,3.102,0.920,11.429,17.961,0.792,0.840,5.442,8.248,1.959,13.328
42,1.000,TOR,CHA,709.580,34.906,25.882,Luis Scola,13.712,13.374,DeMarre Carroll,7.178,17.331,Kyle Lowry,33.514,26.446,DeMar DeRozan,3.737,16.976,Jonas Valanciunas,24.282,37.397,Marvin Williams,12.896,18.928,Nicolas Batum,8.395,21.228,Kemba Walker,28.922,27.452,Cody Zeller,17.075,35.672,PJ Hairston,5.259,23.577,13.949,3.155,1.364,11.221,17.666,2.073,0.712,5.263,7.842,2.058,13.627
43,1.000,TOR,CHA,709.540,34.988,25.367,Luis Scola,13.584,13.367,DeMarre Carroll,7.132,17.300,Kyle Lowry,33.660,26.044,DeMar DeRozan,3.905,16.333,Jonas Valanciunas,24.217,37.327,Marvin Williams,12.868,18.922,Nicolas Batum,8.541,21.361,Kemba Walker,29.053,27.182,Cody Zeller,17.004,35.623,PJ Hairston,5.136,23.019,13.042,3.226,1.388,10.710,16.615,2.382,0.728,4.928,7.484,2.158,14.282
44,1.000,TOR,CHA,709.500,34.994,24.939,Luis Scola,13.453,13.356,DeMarre Carroll,7.104,17.279,Kyle Lowry,33.773,25.637,DeMar DeRozan,4.099,15.711,Jonas Valanciunas,24.148,37.252,Marvin Williams,12.864,18.960,Nicolas Batum,8.676,21.497,Kemba Walker,29.173,26.904,Cody Zeller,16.930,35.574,PJ Hairston,5.006,22.446,10.682,3.265,0.880,10.538,16.288,2.569,0.959,4.795,7.566,2.238,14.691
45,1.000,TOR,CHA,709.460,34.878,24.880,Luis Scola,13.320,13.335,DeMarre Carroll,7.026,17.257,Kyle Lowry,33.874,25.229,DeMar DeRozan,4.351,15.145,Jonas Valanciunas,24.094,37.188,Marvin Williams,12.847,18.990,Nicolas Batum,8.800,21.637,Kemba Walker,29.276,26.637,Cody Zeller,16.853,35.526,PJ Hairston,4.880,21.861,3.252,3.380,2.013,10.505,15.487,2.087,0.865,4.673,7.176,2.255,14.964
